,kis,tts,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,0.04013902878008152,0.03076758501812087,0.034135808507157396,0.040689920419625464,0.029799705793127598
2,0.055330622011803936,0.039422368186974664,0.029513359880757286,0.042790654544367646,0.033659914704684414
3,0.06494517272803582,0.04820390593990065,0.03824535620880855,0.04798616718854718,0.04709848453286762
4,0.0734558598404078,0.046797224521442846,0.03656296181861748,0.05069197808702947,0.04907613329238603
5,0.07613603161659618,0.04535113720943218,0.038290163646274626,0.051183535396813556,0.04863634415872054
6,0.07741764641015585,0.05089957347139349,0.04429326326554205,0.056691554237860715,0.05245110382688381
7,0.08476022910700723,0.052832577859398364,0.048331418422962825,0.05692866651876571,0.05187402308272629
8,0.09021174704878368,0.056248491373831616,0.050849401895696617,0.061336423495210374,0.0560736907703422
9,0.09747776145701521,0.060862828396758405,0.056386587847149484,0.06444510053077969,0.06270313011667909
10,0.10339832328422097,0.06612432293267927,0.06024113959852442,0.07220563801456259,0.06577532195281709
20,0.14078864212939543,0.08463460608178919,0.08033039521382794,0.10111479409892844,0.08520655610569598
30,0.1606354263022565,0.1008417464830311,0.09518141151857248,0.13311622020967315,0.09816515989609355
40,0.1762368102356447,0.11610854856271559,0.1058586803705473,0.1530829100135045,0.11081205408336482
50,0.1864674574636413,0.12281784510646358,0.11159450377932574,0.16082642505432937,0.11601727813545001
60,0.19540012798427472,0.12771132721924647,0.11556190944879213,0.16443407946230448,0.122704346635167
70,0.2042600216889512,0.13143476335472415,0.11926910004367318,0.16530459776177558,0.1260654795941361
80,0.210260801917498,0.13388121125237437,0.12278891972261409,0.16852225186201383,0.1290432359258105
90,0.21394247366270383,0.13567603424004565,0.12356296817618474,0.1711993821740184,0.1305233114509816
100,0.21947264346783715,0.13756191825623632,0.12582956836634357,0.17216255513044992,0.13310970100841954
