,tts_s1,tts_s2,tts_s3,tts_s4,tts_s5,kis_s1,kis_s2,kis_s3,kis_s4,kis_s5,qcmcqg_kis_s6,qcmcqg_kis_s7,qcmcqg_kis_s8,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,-0.4666666666666666,0.9999999999999999,-0.2,-0.4666666666666666,0.9999999999999999,-0.4666666666666666,0.9999999999999999,0.4666666666666666,-0.4666666666666666,0.9999999999999999,-0.06666666666666665,0.3333333333333333,-0.06666666666666665,0.9999999999999999,0.4666666666666666,0.9999999999999999
2,-0.2,0.06666666666666665,0.2,0.6,0.2,-0.06666666666666665,0.6,0.7333333333333333,0.6,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.4666666666666666,0.8666666666666666,0.8666666666666666
3,0.3333333333333333,0.4666666666666666,-0.4666666666666666,0.06666666666666665,-0.06666666666666665,0.4666666666666666,0.6,0.8666666666666666,0.9999999999999999,0.8666666666666666,0.8666666666666666,0.2,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
4,0.3333333333333333,0.2,-0.2,-0.3333333333333333,0.2,0.6,-0.06666666666666665,0.8666666666666666,0.3333333333333333,0.3333333333333333,0.06666666666666665,0.2,0.2,0.2,0.9999999999999999,0.3333333333333333
5,-0.4666666666666666,-0.4666666666666666,-0.06666666666666665,-0.4666666666666666,-0.4666666666666666,-0.4666666666666666,0.06666666666666665,0.3333333333333333,0.2,0.2,0.3333333333333333,0.06666666666666665,-0.06666666666666665,0.06666666666666665,0.06666666666666665,0.2
6,0.2,-0.4666666666666666,0.8666666666666666,0.2,0.2,-0.3333333333333333,0.9999999999999999,0.4666666666666666,-0.2,-0.06666666666666665,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.9999999999999999
7,-0.06666666666666665,0.06666666666666665,-0.3333333333333333,-0.06666666666666665,0.6,-0.06666666666666665,-0.3333333333333333,0.06666666666666665,0.2,-0.2,0.2,-0.3333333333333333,-0.3333333333333333,0.06666666666666665,-0.3333333333333333,-0.4666666666666666
8,0.06666666666666665,0.4666666666666666,-0.3333333333333333,0.6,0.9999999999999999,-0.06666666666666665,-0.3333333333333333,-0.3333333333333333,-0.2,-0.2,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.2,-0.3333333333333333,-0.3333333333333333
9,0.3333333333333333,0.2,0.9999999999999999,-0.3333333333333333,-0.3333333333333333,0.2,0.8666666666666666,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.3333333333333333,0.4666666666666666,0.06666666666666665,0.3333333333333333,0.8666666666666666
10,0.06666666666666665,-0.6,0.9999999999999999,-0.4666666666666666,-0.3333333333333333,-0.6,0.06666666666666665,-0.06666666666666665,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666666,0.3333333333333333
