,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,3100,16600,550,3900,1100,4000
2,95,210,49,75,70,200
3,30,75,18,22,22,37
4,15,34,11,11,12,19
5,10,20,8,8,8,11
6,7,14,6,6,6,8
7,6,10,4,5,4,7
8,5,8,4,4,4,5
9,4,7,3,3,3,4
10,3,6,3,3,3,4
