,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,1.9820973021720345,1.448064868114689,2.3600615068095485,2.0648321982585305,2.340480967243955,1.7442729176793224
2,2.9317085951424016,2.0097119564475423,3.3945833113737005,3.11602066948935,3.3271084772429953,2.6497427098523154
3,3.632221567263276,2.4734723108712076,4.215630789574846,3.814116892341902,4.097092685219513,3.2669936197610805
4,4.177271899001863,2.848675514977139,4.87116024068532,4.391096753790566,4.7155695637213,3.738850438311137
5,4.597127926869514,3.2035306147369966,5.496582041419117,4.914865371582918,5.229958773851582,4.119350329123065
6,5.058820620972396,3.5006968952249764,6.057480450759993,5.420660068077882,5.712753158410143,4.518422828143235
7,5.423358489488162,3.8237822625362003,6.571146845365006,5.900339202392689,6.20190559641168,4.88482186464731
8,5.837620232096522,4.090658659420069,7.069460600364527,6.3775651496385635,6.599570582425775,5.247995799502028
9,6.206223257307243,4.342418828445761,7.533533933708992,6.700326171033887,6.978388437861732,5.552715894855512
10,6.543384533151242,4.607455582187229,7.956605370439304,7.084866923572836,7.4076623116115705,5.863654306541407
20,8.993358029700872,6.4800685151640325,11.284820361698246,9.73714147614163,10.2427964479096,8.195048712998874
30,10.734586231041272,7.874344030884195,13.794451774225752,11.728540575655,12.576578306272062,10.041730589668962
40,12.291548826116573,9.031967554436754,15.958288813750373,13.32571934942347,14.392286291025316,11.474415314310463
50,13.466223450651746,10.009313849744053,17.71158022881461,14.69149223732263,15.942540985660106,12.72844851440101
60,14.514081039832558,10.902912711086012,19.207965551604183,15.831630681664487,17.279622001250388,13.771478151721878
70,15.415317963945887,11.78846814853342,20.688935912733363,16.89049914039355,18.47335222197495,14.742132183416608
80,16.188661528959024,12.573112449903187,21.99167364853478,17.799925051108012,19.522307632754845,15.594626972300324
90,17.036430978172962,13.215643753229463,23.112231323594543,18.667655640165933,20.49555938692703,16.29120481680034
100,17.80010865335088,13.881498450461656,24.135063359219824,19.497146614144675,21.468129648081845,17.02546338317469
