,kis,tts,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,0.07774978111669036,0.07825996386794007,0.07186442041761242,0.08209748603417273,0.07128312507154817
2,0.10394078071631892,0.08744887955419217,0.0692204666291699,0.08241270455227352,0.07474478677793556
3,0.12639839644622874,0.09203628751774354,0.07867834207313536,0.09186064024760558,0.088423613804398
4,0.13317891751677188,0.09357701742322942,0.07820860409756841,0.09964987707131556,0.0940059940170493
5,0.1348100335262315,0.09008460470986834,0.07888177145341908,0.09546942998058246,0.09448158291982973
6,0.13671204393985678,0.10134504405742989,0.08725405471386724,0.09889802117553223,0.0979257563644336
7,0.1441786463379614,0.1078195765180027,0.09207431608822245,0.09855958575983424,0.09725320435573066
8,0.14830878369986486,0.11303150755030295,0.0940398536702683,0.09941460508745577,0.0997948590302331
9,0.15521238119711697,0.11732805066344983,0.09883119466360955,0.1014499294169691,0.10787879204266285
10,0.16538775032254255,0.12676951405326006,0.10484851165365375,0.10872894738343851,0.11057583783404437
20,0.2135657562490369,0.16206081308173922,0.13550378931489396,0.15765554392953293,0.1403173347826663
30,0.2420300202672294,0.18388498026986713,0.1575577989282691,0.1919817418163485,0.16365145817428053
40,0.2589059343215798,0.20813584633462448,0.173557435580356,0.20501461936507467,0.18086507023576037
50,0.27235977399937067,0.22368417949807123,0.18215718576023493,0.21620182900718302,0.19012556109295745
60,0.2790409378927716,0.23408686743549176,0.1830886277056331,0.2231310321287181,0.20018722932401076
70,0.2871499634940758,0.24750507256166554,0.18929273364193142,0.22584283862067692,0.2059510383749078
80,0.29328790132592547,0.2533904999829864,0.19251647146278567,0.23148564162100613,0.20991540988145008
90,0.2997521030876986,0.25823437960219403,0.19572259710738701,0.2363884352747222,0.21219955864799755
100,0.2997632976317102,0.2596717868203521,0.193988653627764,0.23535710396756573,0.21264482479067937
