,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,550,1300,180,550,290,550
2,46,110,30,39,36,95
3,17,41,11,13,14,22
4,9,20,8,7,8,11
5,7,13,5,6,5,8
6,5,9,4,4,4,6
7,4,7,3,3,3,5
8,3,6,3,3,3,4
9,3,5,2,2,2,3
10,2,4,2,2,2,3
