,uqv_1,uqv_2,uqv_3,uqv_4,uqv_5,uqv_6,uqv_7,uqv_8,tts_s1,tts_s2,tts_s3,tts_s4,tts_s5,kis_s1,kis_s2,kis_s3,kis_s4,kis_s5,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8,qcmcqg_kis_s6,qcmcqg_kis_s7,qcmcqg_kis_s8
queries,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ndcg,0.4968849161943708,0.41034584024877746,0.4116573978794888,0.5146134632631957,0.5353004947254005,0.4980166551065322,0.4979909424279752,0.45562075944585606,0.306595975281273,0.4391404260341083,0.46392209479257873,0.47762494951155005,0.47087152449691283,0.40873312545075247,0.5988213284548835,0.6335663456432923,0.6906907931090772,0.6922446038043318,0.5945088130412184,0.6206779200940318,0.581217883146469,0.6460783412202855,0.6269491067756096,0.6400883902683364
P_10,0.6319999999999999,0.49000000000000016,0.4799999999999999,0.6299999999999999,0.7239999999999998,0.5979999999999999,0.5720000000000001,0.5619999999999998,0.23600000000000002,0.5100000000000001,0.5940000000000001,0.6079999999999999,0.606,0.4400000000000002,0.746,0.7980000000000003,0.8619999999999998,0.8619999999999998,0.762,0.8039999999999998,0.7679999999999998,0.82,0.8079999999999999,0.8359999999999996
map,0.24287392738376876,0.18960102911261864,0.1877681643611535,0.2643923372061845,0.2806946587609092,0.2514526968209754,0.24180040158082253,0.2192680636805329,0.09708108987917619,0.20973995562739017,0.22828048949486618,0.23834526032418843,0.231058055316369,0.14923459160456157,0.3429212721314239,0.37616769682369056,0.42989959997055294,0.4336860529882421,0.32824595251683264,0.3553787403724568,0.3221689947183931,0.39024334493958807,0.37030015345257367,0.37806213445706205
