,uqv_1,uqv_2,uqv_3,uqv_4,uqv_5,uqv_6,uqv_7,uqv_8,tts_s1,tts_s2,tts_s3,tts_s4,tts_s5,kis_s1,kis_s2,kis_s3,kis_s4,kis_s5,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8,qcmcqg_kis_s6,qcmcqg_kis_s7,qcmcqg_kis_s8
queries,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ndcg,0.42933517332497295,0.4095559779800735,0.3979180189878964,0.4468815865048633,0.4447079014735136,0.4487888723713908,0.4979909424279752,0.40462370044666973,0.17050213038873246,0.359203309481431,0.38945924386467445,0.17050213038873246,0.359203309481431,0.2836078291839873,0.5096215329009881,0.5473907783444548,0.2836078291839873,0.5096215329009881,0.440850922300089,0.4976499694641878,0.43926158213954836,0.5146457114589272,0.5033303041519998,0.5190590640658516
P_10,0.5039999999999999,0.4880000000000001,0.45599999999999985,0.5219999999999999,0.4919999999999999,0.5079999999999999,0.5720000000000001,0.44999999999999996,0.128,0.39000000000000007,0.402,0.128,0.39000000000000007,0.204,0.54,0.6220000000000002,0.204,0.54,0.4920000000000001,0.594,0.4860000000000001,0.596,0.598,0.6019999999999999
map,0.2002662771359326,0.18937382288943866,0.18132975477109667,0.20994492086870584,0.20431388198991962,0.21968411529455442,0.24180040158082253,0.17986091680799451,0.05408064535088089,0.16040462809896128,0.18212075194964272,0.05408064535088089,0.16040462809896128,0.08130915114921064,0.2534925666289952,0.2869873911970242,0.08130915114921064,0.2534925666289952,0.20721598454263435,0.24294897749772876,0.20653168879845515,0.263012536334368,0.23999509655429058,0.26436780368912494
