,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,150,260,70,160,100,170
2,22,48,16,19,20,41
3,9,20,7,8,8,12
4,6,12,5,5,4,7
5,4,8,3,4,3,5
6,3,6,3,3,3,4
7,2,5,2,2,2,3
8,2,4,2,2,2,3
9,2,3,2,2,2,2
10,2,3,1,2,1,2
