,uqv_1,uqv_2,uqv_3,uqv_4,uqv_5,uqv_6,uqv_7,uqv_8,tts_s1,tts_s2,tts_s3,tts_s4,tts_s5,kis_s1,kis_s2,kis_s3,kis_s4,kis_s5,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8,qcmcqg_kis_s6,qcmcqg_kis_s7,qcmcqg_kis_s8
queries,150.0,52.0,68.0,123.0,500.0,136.0,50.0,156.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ndcg,0.3787470054571679,0.4221408133062679,0.392248832240936,0.4126270556664807,0.392176800580238,0.4030148723169375,0.4979909424279752,0.3813555999047664,0.047863427726129774,0.19638634261042548,0.3386587488271977,0.3322887397741626,0.3499303653386992,0.13336359405076273,0.3968697389110266,0.511359585208602,0.559843857853788,0.5940889691662016,0.4493274739449051,0.47884251482366363,0.3780197851657396,0.5215798871774526,0.500762849601925,0.4859410270243467
P_10,0.4506666666666666,0.5057692307692309,0.4352941176470587,0.489430894308943,0.43299999999999983,0.47132352941176475,0.5720000000000001,0.45448717948717954,0.030600000000000006,0.17159999999999997,0.34259999999999974,0.3632000000000001,0.3873999999999999,0.10440000000000006,0.3972000000000001,0.5666000000000001,0.6336000000000007,0.6882000000000006,0.5168000000000004,0.5626000000000005,0.4224000000000002,0.5975999999999998,0.5887999999999998,0.5584000000000002
map,0.15810598697996195,0.2019605949855719,0.17795173447513332,0.1888337593797034,0.16493332647456313,0.18432006440458049,0.24180040158082253,0.16450813540646386,0.012718572672473111,0.06877556117479236,0.14126552171516815,0.13879810170679682,0.14744438245492078,0.03142191614173755,0.16149560653353953,0.25067120592077474,0.30085501736112724,0.32852348499287237,0.20882267966203905,0.22877598851969594,0.16439030092754295,0.2604004434186734,0.24156240729656023,0.22932306839470648
